time,open,high,low,close,tick_volume,time,signal_price,signal_side
2019-01-02 00:00:00,1282.21,1285.43,1282.01,1284.7,1539,,,
2019-01-02 01:00:00,1284.7,1288.7,1284.53,1286.74,12208,,,
2019-01-02 02:00:00,1286.79,1287.63,1278.64,1284.6,25524,2019-01-02 18:00:00,1287.63,sell
2019-01-03 00:00:00,1287.68,1290.13,1285.06,1287.77,10587,,,
2019-01-03 01:00:00,1287.77,1292.26,1286.04,1287.08,15484,,,
2019-01-03 02:00:00,1287.09,1294.96,1284.5,1293.97,31247,2019-01-03 15:00:00,1284.5,buy
2019-01-04 00:00:00,1293.66,1298.52,1292.69,1295.03,12757,,,
2019-01-04 01:00:00,1294.95,1296.23,1289.34,1291.57,10628,,,
2019-01-04 02:00:00,1291.57,1292.09,1276.54,1284.53,38180,2019-01-04 13:30:00,1292.09,sell
2019-01-07 00:00:00,1285.34,1289.72,1282.56,1289.29,9517,,,
2019-01-07 01:00:00,1289.33,1292.32,1288.63,1291.23,12320,,,
2019-01-07 02:00:00,1291.23,1295.03,1286.13,1288.72,24716,2019-01-07 15:00:00,1295.03,sell
2019-01-08 00:00:00,1289.16,1290.18,1282.33,1282.43,9868,,,
2019-01-08 01:00:00,1282.43,1284.71,1281.62,1283.26,12544,,,
2019-01-08 02:00:00,1283.26,1286.93,1279.31,1285.04,20825,2019-01-08 15:00:00,1279.31,buy
2019-01-09 00:00:00,1284.62,1287.04,1281.61,1282.22,10124,,,
2019-01-09 01:00:00,1282.21,1283.53,1280.06,1280.85,9362,,,
2019-01-09 02:00:00,1280.84,1293.9,1280.01,1292.93,30700,2019-01-09 14:00:00,1280.01,buy
2019-01-10 00:00:00,1292.98,1297.03,1291.54,1296.25,9103,,,
2019-01-10 01:00:00,1296.25,1296.95,1291.49,1293.75,10754,,,
2019-01-10 02:00:00,1293.75,1294.59,1286.03,1286.1,22829,2019-01-10 15:00:00,1294.59,sell
2019-01-11 00:00:00,1286.75,1293.14,1286.72,1293.11,7365,,,
2019-01-11 01:00:00,1293.15,1295.12,1291.67,1291.91,10101,,,
2019-01-11 02:00:00,1291.81,1293.45,1286.83,1287.39,19553,2019-01-11 14:30:00,1293.45,sell
2019-01-14 00:00:00,1288.04,1292.66,1287.77,1291.04,7360,,,
2019-01-14 01:00:00,1291.03,1295.57,1290.18,1294.85,9865,,,
2019-01-14 02:00:00,1294.85,1295.79,1288.35,1291.37,19924,2019-01-14 13:30:00,1295.79,sell
2019-01-15 00:00:00,1292.4,1293.36,1290.11,1290.38,7987,,,
2019-01-15 01:00:00,1290.36,1291.48,1287.47,1289.35,9333,,,
2019-01-15 02:00:00,1289.35,1294.59,1286.71,1288.92,25045,2019-01-15 17:00:00,1294.59,sell
2019-01-16 00:00:00,1289.58,1291.13,1288.28,1290.43,7776,,,
2019-01-16 01:00:00,1290.45,1292.71,1288.73,1289.14,9829,,,
2019-01-16 02:00:00,1289.14,1294.95,1287.78,1293.62,20098,2019-01-16 14:00:00,1287.78,buy
2019-01-17 00:00:00,1293.7,1295.33,1291.25,1291.96,7344,,,
2019-01-17 01:00:00,1291.95,1294.94,1291.26,1294.59,7972,,,
2019-01-17 02:00:00,1294.6,1294.95,1288.67,1291.78,22138,2019-01-17 13:30:00,1294.95,sell
2019-01-18 00:00:00,1292.24,1292.4,1290.29,1291.37,7041,,,
2019-01-18 01:00:00,1291.37,1292.12,1283.55,1285.52,8951,,,
2019-01-18 02:00:00,1285.52,1286.42,1280.56,1281.18,20434,2019-01-18 14:00:00,1286.42,sell
2019-01-21 00:00:00,1282.53,1283.47,1281.01,1281.4,6290,,,
2019-01-21 01:00:00,1281.36,1283.4,1277.5,1278.4,8137,,,
2019-01-21 02:00:00,1278.4,1280.98,1276.76,1280.03,8042,2019-01-21 14:30:00,1276.76,buy
2019-01-22 00:00:00,1280.14,1280.47,1277.39,1277.67,6748,,,
2019-01-22 01:00:00,1277.67,1284.8,1277.35,1283.34,9738,,,
2019-01-22 02:00:00,1283.34,1285.41,1279.15,1284.97,17449,2019-01-22 17:30:00,1279.15,buy
2019-01-23 00:00:00,1284.9,1285.61,1283.01,1283.51,6378,,,
2019-01-23 01:00:00,1283.51,1286.47,1283.4,1285.4,6505,,,
2019-01-23 02:00:00,1285.4,1285.81,1278.59,1282.42,16713,2019-01-23 16:00:00,1278.59,buy
2019-01-24 00:00:00,1282.78,1284.71,1280.98,1281.22,5236,,,
2019-01-24 01:00:00,1281.22,1282.35,1278.26,1279.34,7619,,,
2019-01-24 02:00:00,1279.32,1283.85,1276.7,1280.75,21060,2019-01-24 15:30:00,1276.7,buy
2019-01-25 00:00:00,1280.33,1283.05,1279.89,1282.15,6686,,,
2019-01-25 01:00:00,1282.15,1285.1,1281.77,1284.55,7575,,,
2019-01-25 02:00:00,1284.55,1303.91,1283.4,1302.79,25111,2019-01-25 15:00:00,1283.4,buy
2019-01-28 00:00:00,1302.27,1304.35,1299.42,1304.04,7462,,,
2019-01-28 01:00:00,1304.07,1304.07,1300.13,1300.83,6662,,,
2019-01-28 02:00:00,1300.83,1304.15,1297.56,1303.21,16563,2019-01-28 16:00:00,1297.56,buy
2019-01-29 00:00:00,1303.12,1304.47,1302.66,1303.89,5919,,,
2019-01-29 01:00:00,1303.89,1309.31,1302.87,1307.2,9031,,,
2019-01-29 02:00:00,1307.2,1311.94,1306.11,1311.66,21116,2019-01-29 16:30:00,1306.11,buy
2019-01-30 00:00:00,1311.51,1314.65,1310.53,1313.75,7659,,,
2019-01-30 01:00:00,1313.75,1315.87,1312.71,1313.29,9061,,,
2019-01-30 02:00:00,1313.29,1323.37,1308.92,1319.59,28140,2019-01-30 20:30:00,1308.92,buy
2019-01-31 00:00:00,1320.3,1320.71,1317.36,1319.97,7812,,,
2019-01-31 01:00:00,1319.98,1323.24,1318.52,1322.57,10782,,,
